PC1,PC2,Flag
2.3083651444496405,-0.9317130810121264,1
-2.0349469113797136,-2.8036975383373535,1
-2.5524406474939467,-2.0126439078171794,1
-1.6389176555300566,-0.4381486100856125,1
-0.2214074449797521,-2.673904062274383,1
-0.6487831914110653,-0.8158189817264373,0
-2.485650225985209,1.507669165043649,0
-3.917478399640658,-0.34336889449993424,0
-4.331848080819408,-1.6104560991039463,0
-3.2947145742862167,0.39558598614089435,0
-1.6653372436102636,0.6531027885541942,0
-2.520922471259389,-1.7984900945989046,0
-1.468551502185065,-1.117422468226389,0
0.9313494369017059,2.5126233135528726,1
-0.41735599892223085,1.0442545358288078,1
-1.484516859398434,0.2792369745742619,0
-1.8433572858179015,0.35439911072440183,0
-0.031222899567278112,4.426200539723036,0
-0.947328189064262,1.8827606227672782,0
-0.8385643791573029,0.6318336647875018,0
2.597190411518192,0.7224587493757307,0
3.268644441600207,1.1146841422001459,0
2.7475017746154977,0.6587326263898143,1
0.951905372021157,1.0688406437066087,0
1.323944451397739,1.7310082178026134,1
5.849419826871162,-1.0002017919859298,1
-0.4735197364436264,-0.1307574091887116,0
0.8167769987738834,2.386294437327886,1
-2.5577111492373454,0.2213975138340793,0
2.1800775518934015,-1.692898922283877,0
1.7415662631496107,-0.2942000581528449,0
2.7612912151260898,-2.1075935518945843,0
1.8884828331093775,1.3442283374613309,0
-3.0743321245128383,-0.9372620796188065,0
-0.18675132262630892,2.4394409508759156,0
-2.0896609991386708,0.6819039997590413,0
-0.2611591710633228,2.1650433273262593,0
-3.5399957046276205,-0.8727242224712211,0
-2.6146152601709156,3.2191743534286146,0
4.816118450497394,-0.2378479114026662,0
1.2301479254748648,1.5909570860369786,0
2.9862577221317177,-2.6267737057640708,0
1.9654100897635587,-3.5136016850762206,0
1.1746935893895156,-0.3685836056536856,0
2.950831171427651,-0.959910593012793,0
-0.9218277899592574,0.29260419899404094,0
1.5706198844533483,0.5057489840170447,0
2.55717423337182,0.8743670674884012,0
0.8964438246481669,-2.9063632647657274,0
-2.390825384123577,-1.2888656864332164,0
-1.5216934911949465,-1.4668580680910828,0
2.4612234810208884,0.24555495575630173,0
